district_name,division_name,ntl_mean,ntl_std,ntl_max,ntl_min,ntl_p25,ntl_p75,ntl_yoy_change,ntl_trend,pop_density,pop_total,ndvi_mean,ndvi_std,urban_fraction,water_fraction,elevation_mean,elevation_std,road_length_km,poverty_hcr,poverty_hcr_lower,poverty_change,ntl_per_capita,area_sqkm,road_density,ntl_iqr,ntl_mean_spatial_lag,ntl_per_capita_spatial_lag,ndvi_mean_spatial_lag,pop_density_spatial_lag,poverty_predicted
Barguna,Barishal,0.448607,0.412899,14.07,0.23,0.348863,0.400602,0.044712,0.035456,5.550811,780363.920716,0.553958,0.130788,0.002596,0.11669,5.678317,3.248722,2281.37,26.9,11.8,0.4,0.080818,1316.883927,1.7324,0.051739,0.5193968,0.0920718,0.5867648000000001,6.362451200000001,25.93000000000005
Barishal,Barishal,0.556835,0.768384,13.57,0.22,0.346415,0.462924,0.053557,0.033745,8.232663,1969137.734812,0.549174,0.197899,0.005217,0.183537,5.462467,3.563929,2621.98,26.9,11.8,0.4,0.067637,2246.642152,1.167066,0.116509,0.530254125,0.07444875,0.5700927499999999,7.335629750000001,24.74700000000004
Bhola,Barishal,0.457018,0.654025,36.799999,0.2,0.363541,0.363541,0.032629,0.026158,8.588325,1577136.25421,0.434755,0.298058,0.002154,0.303849,4.237347,3.307194,2505.83,26.9,11.8,0.4,0.053214,1836.940696,1.364132,0.0,0.56173,0.06522275,0.5512807500000001,9.5124525,24.88900000000004
Jhalokati,Barishal,0.527945,0.637138,13.365,0.28,0.403749,0.524374,0.046413,0.026403,7.508136,587618.44096,0.648375,0.077762,0.003022,0.054022,6.468713,2.847514,541.57,26.9,11.8,0.4,0.070316,718.360236,0.753898,0.120625,0.4842889999999999,0.069671,0.5745423333333333,7.057262000000001,24.933000000000046
Patuakhali,Barishal,0.524367,1.17643,52.315002,0.235,0.377921,0.377921,0.042828,0.043607,5.404378,1380921.453775,0.527028,0.144934,0.003318,0.105581,5.333929,2.550002,2840.96,26.9,11.8,0.4,0.097026,2493.747284,1.139233,0.0,0.4874866666666666,0.067223,0.512629,7.457266333333333,26.039000000000048
Pirojpur,Barishal,0.447425,0.195722,3.195,0.275,0.365242,0.444459,0.037879,0.025799,7.388312,945993.685033,0.620495,0.12137,0.002307,0.081748,6.49946,3.190777,2954.99,26.9,11.8,0.4,0.060558,1225.380471,2.411488,0.079217,0.5367187999999999,0.0961366,0.5952032,6.170224600000001,23.867000000000033
Bandarban,Chattogram,0.357065,0.163545,5.72,0.225,0.299633,0.355542,0.035444,0.022441,0.928923,461058.683912,0.778095,0.036474,0.000484,0.001661,193.433084,169.019214,2087.43,15.8,5.1,-2.6,0.384385,4575.520869,0.456217,0.055908,0.9959696666666666,0.1719756666666666,0.6674206666666667,9.229926333333331,16.369999999999976
Brahmanbaria,Chattogram,0.945871,0.87848,15.309999,0.3,0.592927,0.966667,0.043205,0.021832,14.93136,2802439.439757,0.532215,0.1301,0.014676,0.039678,8.212964,3.382339,4047.65,15.8,5.1,-2.6,0.063348,1919.676654,2.108506,0.373739,1.7589248,0.0818352,0.5565936,19.725264600000003,16.27199999999998
Chandpur,Chattogram,0.613337,0.403748,8.095,0.245,0.483362,0.639205,0.036635,0.035502,14.270603,2188935.061261,0.570652,0.216847,0.005385,0.160602,7.293406,4.134042,4513.68,15.8,5.1,-2.6,0.042979,1551.708758,2.908845,0.155843,0.8600148000000002,0.0630724,0.5760162,13.2809558,16.888999999999985
Chattogram,Chattogram,1.822983,4.975388,142.929993,0.2,0.603579,1.323926,0.110964,0.09447,15.678852,7320232.755036,0.657048,0.136581,0.027131,0.037082,22.828773,25.909195,15636.48,15.8,5.1,-2.6,0.11627,4461.477655,3.504776,0.720347,0.6031346666666667,0.1857065,0.6853205,6.897633833333333,17.392999999999976
